loss,acc,val_loss,val_acc
0.29907665459712346,0.9158666666984558,0.08621231933534146,0.9735
0.08820775098601977,0.9733833333015441,0.06159373888690024,0.9797
0.06775480639139811,0.9798833333015442,0.060408578097983265,0.9808
0.06432388106087844,0.9815833333015442,0.060253730235190595,0.9818
0.06219487276598811,0.98235,0.060829868651926515,0.9822
0.06943121893306574,0.9803333333015442,0.07703464932413771,0.9766
0.07889322080761194,0.97715,0.07065430209264159,0.9793
0.08721857448518276,0.9756833333651225,0.09154697806537151,0.9742
0.09402459923128287,0.9723166666348775,0.08492151308115571,0.9747
0.10182249922951063,0.9713499999682108,0.09582218396288518,0.9756
